X,Y,OBJECTID,COD_SIG,IDTIPO,CAT_NOME,CAT_ID,INF_ID,INF_NOME,INF_MORADA,INF_TELEFONE,INF_FAX,INF_EMAIL,INF_SITE,INF_DESCRICAO,INF_AUTOR_DESCRICAO,INF_FONTE,INF_OBS,INF_ACTIVO,INF_MUNICIPAL,GlobalID
-9.16276540192038,38.7041812580341,11,13,7,Espaços Verdes e Lazer - Miradouros,211819,2139,Miradouro da Rocha de Conde de Óbidos,"Rua Presidente Arriaga;",+351 213 912 600,,daev@cm-lisboa.pt,http://lisboaverde.cm-lisboa.pt/index.php?id=4345,"Este miradouro, enquadrado por um conjunto de edifícios harmoniosos, nomeadamente o Museu Nacional de Arte Antiga e o Palácio Óbidos-Sabugal (actual Sede Nacional da Cruz Vermelha Portuguesa), localiza-se no Jardim 9 de Abril, também conhecido por Jardim das Albertas ou da Rocha do Conde de Óbidos, um pequeno espaço verde pontuado por espécies arbóreas distintas e por uma peça escultórica em homenagem ao fundador da Cruz Vermelha Portuguesa, José António Marques. A partir deste local, sobranceiro à Avenida 24 de Julho, podemos desfrutar de uma vista panorâmica sobre o Tejo, assim como observar a azáfama no Cais da Rocha do Conde de Óbidos. Duas magníficas escadarias permitem o acesso à Avenida 24 de Julho mesmo à beira do cais.
",Oásis Alfacinhas - Isabel Santos,-,,1,0,6f536056-3675-424e-9333-c3f9a3ed73e8
-9.13155036962696,38.7306332765638,12,28,7,Espaços Verdes e Lazer - Miradouros,211819,1961,Miradouro da Penha de França,"Largo da Penha de França
1170-298 LISBOA",(351) 213 912 600,,daev@cm-lisboa.pt,http://lisboaverde.cm-lisboa.pt/index.php?id=5561,"Vista inesquecível quer para o Vale do Tejo com o horizonte a perder-se no Oceano Atlântico, quer para os lados opostos, vendo-se o Alto de São João, e grande parte das duas margens do rio - a montante de Lisboa, por Chelas, Marvila e Olivais do lado de cá e, na outra margem, o Montijo e Alcochete. Ao longe, para norte, a Serra de Sintra.",,-,SG-DMC,1,0,3b560443-d244-43d0-a60e-91e9b505d0da
-9.13036016116431,38.7116463435144,13,2,7,Espaços Verdes e Lazer - Miradouros,211819,1957,Miradouro de Santa Luzia,"Largo de Santa Luzia
",,,,,"Uma das mais belas janelas sobre o rio Tejo e a zona sul da cidade, em tempos passados cais de comércio e de embarque para aventuras marítimas. Deslizando o olhar por São Vicente de Fora e pelas ruelas estreitas e labirínticas de Alfama, que descem até ao rio, seguimos pelo vasto lençol de água, que se estende até quase atingir o mar. Na margem sul avistamos a azáfama dos barcos que fazem a travessia do Tejo. O miradouro é um pequeno espaço ajardinado, com algumas trepadeiras que produzem sombra. É pontuado por conversadeiras, por uma bica, pela estátua de Júlio de Castilho, olisipógrafo de renome, e por dois painéis de azulejos da Fábrica Viúva de Lamego adossados à parede lateral da Igreja de São Brás e de Santa Luzia, edificada sobre a Cerca Velha.
",Oásis Alfacinhas - Isabel Santos,-,,1,1,a6939081-dc3a-4335-a7f1-36d8a02f7a6c
-9.1823714159656,38.701464016445,14,33,7,Espaços Verdes e Lazer - Miradouros,211819,12050,Miradouro de Santo Amaro,Calçada de Santo Amaro,,,,,,,-,,1,0,44dbab8e-86a0-44ed-b190-ce166b834918
-9.1544802508347,38.7303575256875,15,7,7,Espaços Verdes e Lazer - Miradouros,211819,1945,Miradouro do Parque Eduardo VII,"Alameda Cardeal Cerejeira
",+351 213 912 600,,daev@cm-lisboa.pt,,"Está integrado no PARQUE EDUARDO VII, e  tem uma vista que atravessa toda o vale da Avenida da Liberdade, a Baixa Pombalina e as encostas que a definem (à esquerda o Castelo de São Jorge, à direita as ruínas do Convento do Carmo), perdendo-se no leito do Tejo e, em dias de boa visibilidade, alcançando a outra margem.",,-,SG/DMC,1,0,8bb025f7-a443-48ab-9380-01e2de6a172c
-9.144277186736,38.7152987606744,16,5,7,Espaços Verdes e Lazer - Miradouros,211819,1947,Miradouro de São Pedro de Alcântara,Rua de São Pedro de Alcântara,+351 213 912 600,,daev@cm-lisboa.pt,,"Do miradouro de São Pedro de Alcântara, localizado no jardim do mesmo nome, somos privilegiados com uma das mais completas e belas panorâmicas da cidade de Lisboa, comparável à que oferece o miradouro fronteiro do Castelo de São Jorge. A partir deste ponto a vista alcança em toda a sua extensão a colina do Castelo e as suas muralhas, o Martim Moniz, a Baixa, a Mouraria, Alfama espreitando por detrás da Sé, o rio Tejo e as novas áreas da cidade com avenidas largas e prédios de construção mais recente para Norte. Um telescópio permite um olhar mais próximo de determinado edifício ou pormenor, assim como um painel de azulejos, executado em 1952 por Fred Kradolfer, facilita a nossa orientação à semelhança de um mapa.
","Guia: Lisboa,Uma cidade inesquecível, Oásis Alfacinhas - Isabel Santos",-,,1,0,ae865bdf-b7aa-4dd1-b8a0-231d35472b6c
-9.13152825220632,38.7261445776964,17,31,7,Espaços Verdes e Lazer - Miradouros,211819,1964,Miradouro do Monte Agudo,Rua Heliodoro Salgado,(351) 213 912 600,,daev@cm-lisboa.pt,,"Com uma vista deslumbrante sobre a cidade, o Miradouro do Monte Agudo remonta aos anos 50 e estabelece uma ligação pedonal entre a Rua Heliodoro Salgado, onde se situa a entrada principal, e a Rua Ilha do Príncipe.

Área: 1,2 ha
Equipamentos: Pérgula; Painel de azulejos; Quiosque com esplanada
Horário: 
Abril a setembro: das 07h30 às 23h00
Outubro a abril: das 07h30 às 22h00",,-,SG-DMC,1,0,000efa7b-6c61-4974-8aee-9dca558cdccb
-9.21592840022218,38.6915782687736,18,30,7,Espaços Verdes e Lazer - Miradouros,211819,1963,Miradouro da Torre de Belém,"Avenida de Brasília
1400-038 ",+351 213 620 034,,mjeronimos@igespar.pt,www.torrebelem.pt/,"Do terraço da torre tem-se ampla vista do estuário do Tejo e das suas margens, bem como de toda a zona de Belém e seus monumentos. De costas para o rio avista-se a Capela de São Jerónimo (http://www.igespar.pt/pt/patrimonio/pesquisa/geral/patrimonioimovel/detail/70633/) e o Mosteiro dos Jerónimos (http://www.mosteirojeronimos.pt/pt/index.php?s=white&pid=168&identificador), ainda que parcialmente encoberto pelo  Centro Cultural de Belém (http://www.ccb.pt/SITES/CCB/PT-PT/Pages/default.aspx).",,-,SG-DMC,1,0,3b5951f1-629e-4f48-932f-eac38b074e0b
-9.14767228401239,38.7095151690577,19,6,7,Espaços Verdes e Lazer - Miradouros,211819,1946,Miradouro de Santa Catarina,"Rua de Santa Catarina
1200-403 LISBOA",+351 213 027 700,,,,"A partir deste miradouro podemos observar o Tejo, os telhados da freguesia de São Paulo e para ocidente os bairros da Lapa e da Madragoa, noutra época local de pescadores e varinas. Trata-se de um espaço com vegetação escassa, dominado pela enorme estátua do Adamastor, figura monstruosa imaginada por Camões e descrita em ""Os Lusíadas"", símbolo do Cabo das Tormentas, que vociferava ameaças aos navegadores que por ali passassem. 
","Guia: Lisboa. Uma cidade inesquecível, Oásis Alfacinhas - Isabel Santos",-,,1,0,f4b1ba6c-394d-4fbb-8c2d-7f7049faa687
-9.13299431263146,38.7189753904756,20,3,7,Espaços Verdes e Lazer - Miradouros,211819,1962,Miradouro da Senhora do Monte,"Largo do Monte
",,,,,"Junto à Capela da Senhora do Monte, este balcão privilegiado sobre a cidade, oferece uma ampla e rica panorâmica de Lisboa: o Castelo de São Jorge, o Rio Tejo, a Baixa, a colina de São Roque com as ruínas do Convento Carmo, as zonas antigas e intimistas da Colina do Castelo e da Mouraria, a Lisboa das avenidas largas e dos edifícios de construção mais recente para Norte, os principais jardins, entre outras vistas. O espaço do miradouro é pontuado por exemplares como o cipreste, a oliveira e o pinheiro-manso, que proporcionam belas sombras.
",,-,,1,1,eb681f37-e209-4fa5-976d-f3d4839de060
